,question,keywords,stopwords_lemma,stopwords,functional,functional_lemma,pairsAN,pairsNA,quotations,capitalLetters
91,Czyją śmierć opłakiwał Jan Kochanowski w swoich trenach ?,"(Jan Kochanowski,)",czyj śmierć opłakiwać Jan Kochanowski swój trena,Czyją śmierć opłakiwał Jan Kochanowski swoich trenach,śmierć opłakiwał Jan Kochanowski trenach,śmierć opłakiwać Jan Kochanowski trena,[],[],[],['Jan Kochanowski']
92,Ile miesięcy trwa prawidłowo przebiegająca ciąża u człowieka ?,(),miesiąc trwać prawidłowo przebiegać ciąża człowiek,miesięcy trwa prawidłowo przebiegająca ciąża człowieka,miesięcy trwa prawidłowo przebiegająca ciąża człowieka,miesiąc trwać prawidłowo przebiegać ciąża człowiek,['przebiegająca ciąża'],[],[],[]
93,Ile metrów ma Pałac Kultury?,"(Pałac Kultury,)",metr Pałac kultura,metrów Pałac Kultury,metrów ma Pałac Kultury,metr mieć Pałac kultura,[],[],[],[]
94,Jakiego człowieka nazywamy żartobliwie „lelum-polelum” ?,(),jaki człowiek nazywać żartobliwie lelum polelum,Jakiego człowieka nazywamy żartobliwie lelum polelum,człowieka nazywamy żartobliwie lelum polelum,człowiek nazywać żartobliwie lelum polelum,[],[],[],[]
95,Co buduje się w stoczni ?,(),budować stocznia,buduje stoczni,buduje stoczni,budować stocznia,[],[],[],[]
96,Jakie imię nosi największy dzwon w Polsce ?,"(Polsce,)",imię nosić duży dzwon Polska,imię nosi największy dzwon Polsce,imię nosi największy dzwon Polsce,imię nosić duży dzwon Polska,['największy dzwon'],[],[],[]
97,Jak inaczej określa się osobę chorą na cukrzycę ?,(),inaczej określać osoba chory cukrzyca,inaczej określa osobę chorą cukrzycę,Jak inaczej określa osobę chorą cukrzycę,jak inaczej określać osoba chory cukrzyca,[],['osobę chorą'],[],[]
98,W jakiej strefie klimatycznej znajduje się Polska?,"(Polska,)",jaki strefa klimatyczny znajdować Polska,jakiej strefie klimatycznej znajduje Polska,strefie klimatycznej znajduje Polska,strefa klimatyczny znajdować Polska,[],['strefie klimatycznej'],[],[]
99,Nad jaką zatoką leży Półwysep Westerplatte ?,"(Półwysep Westerplatte,)",jaki zatoka leżeć półwysep Westerplatte,jaką zatoką leży Półwysep Westerplatte,zatoką leży Półwysep Westerplatte,zatoka leżeć półwysep Westerplatte,[],[],[],[]
100,Kto przez 5 lat mieszkał w wozie cyrkowym we wsi Podgradowice ?,"(Podgradowice,)",5 mieszkać wóz cyrkowy wieś podgradowić,5 mieszkał wozie cyrkowym wsi Podgradowice,lat mieszkał wozie cyrkowym wsi Podgradowice,rok mieszkać wóz cyrkowy wieś podgradowić,[],"['wozie cyrkowym', 'wsi Podgradowice']",[],[]
101,Gdzie w 1963 roku zastrzelono J. F. Kennedy’ego ?,"(1963 roku, J., F., Kennedy)",1963 zastrzelić J F Kennedy,1963 zastrzelono J F Kennedy’ego,Gdzie 1963 roku zastrzelono Kennedy’ego,gdzie 1963 rok zastrzelić Kennedy,['1963 roku'],[],[],[]
102,Skąd wyruszył Ferdynand Magellan?,"(Ferdynand Magellan,)",wyruszyć Ferdynand Magellan,wyruszył Ferdynand Magellan,Skąd wyruszył Ferdynand Magellan,skąd wyruszyć Ferdynand Magellan,[],[],[],[]
103,Jaki numer nosił Rudy – czołg „Czterej pancernych” ?,"(Rudy,)",numer nosić Ruda czołg czterej pancerny,numer nosił Rudy czołg Czterej pancernych,numer nosił Rudy czołg Czterej pancernych,numer nosić Ruda czołg czterej pancerny,[],['Czterej pancernych'],[],['Rudy']
104,Wirtuozem gry na jakim instrumencie był Niccolo Paganini ?,"(Niccolo Paganini,)",wirtuoz gra jaki instrument Niccolo Paganini,Wirtuozem gry jakim instrumencie Niccolo Paganini,Wirtuozem gry instrumencie Niccolo Paganini,wirtuoz gra instrument Niccolo Paganini,[],[],[],[]
105,Jakiego zawodu uczył się manolin?,(),jaki zawód uczyć manolina,Jakiego zawodu uczył manolin,zawodu uczył manolin,zawód uczyć manolina,[],[],[],[]
106,Kiedy obchodzone jest „Halloween” ?,(),obchodzić hallowenny,obchodzone Halloween,Kiedy obchodzone Halloween,kiedy obchodzić hallowenny,[],[],[],[]
107,O czyim pojedynku opowiada Wojski w powieści Adama Mickiewicza pt. „Pan Tadeusz” ?,"(Wojski, Adama Mickiewicza, Tadeusz)",czyj pojedynek opowiadać Wojski powieść Adam Mickiewicz pod tytułem Tadeusz,czyim pojedynku opowiada Wojski powieści Adama Mickiewicza pt Tadeusz,pojedynku opowiada Wojski powieści Adama Mickiewicza Pan Tadeusz,pojedynek opowiadać Wojski powieść Adam Mickiewicz pan Tadeusz,[],[],[],"['Wojski', 'Wojski Adama Mickiewicza']"
108,Patronem jakiego kraju jest św. Patryk ?,"(św., Patryk)",patron jaki kraj święty Patryk,Patronem jakiego kraju św Patryk,Patronem kraju jest Patryk,patron kraj być Patryk,[],[],[],[]
109,W jakiej roli wystąpił Tom Cruise w filmie pt. „Top Gun” ?,"(Tom Cruise,)",jaki rola wystąpić Tom Cruise film pod tytułem Top Gun,jakiej roli wystąpił Tom Cruise filmie pt Top Gun,roli wystąpił Tom Cruise filmie Top Gun,rola wystąpić Tom Cruise film Top Gun,[],[],[],['Tom Cruise']
110,Do kogo Jan Sobieski pisał pełne miłosnych wyznań listy ?,"(Jan Sobieski,)",kto Jan Sobieski pisać pełny miłosny wyznanie lista,kogo Jan Sobieski pisał pełne miłosnych wyznań listy,Jan Sobieski pisał pełne miłosnych wyznań listy,Jan Sobieski pisać pełny miłosny wyznanie lista,['miłosnych wyznań'],[],[],['Jan Sobieski']
111,Jak nazywa się przenośny namiot Mongołów ?,(),nazywać przenośny namiot Mongołów,nazywa przenośny namiot Mongołów,Jak nazywa przenośny namiot Mongołów,jak nazywać przenośny namiot Mongołów,['przenośny namiot'],[],[],[]
112,Który z piłkarzy na mistrzostwach świata w Meksyku w 1986 roku zdobył gola dzięki „ręce boskiej” ?,"(Meksyku, 1986 roku, boskiej)",piłkarz mistrzostwa świat Meksyk 1986 zdobyć gol dzięki ręka boski,piłkarzy mistrzostwach świata Meksyku 1986 zdobył gola dzięki ręce boskiej,piłkarzy mistrzostwach świata Meksyku 1986 roku zdobył gola ręce boskiej,piłkarz mistrzostwa świat Meksyk 1986 rok zdobyć gol ręka boski,['1986 roku'],['ręce boskiej'],[],['Meksyku']
113,Skąd wywodzi się joga ?,(),wywodzić joga,wywodzi joga,Skąd wywodzi joga,skąd wywodzić joga,[],[],[],[]
114,Jakim elementem architektonicznym jest gargulec ?,(),jaki element architektoniczny gargulec,Jakim elementem architektonicznym gargulec,elementem architektonicznym gargulec,element architektoniczny gargulec,[],['elementem architektonicznym'],[],[]
115,Koło jakiego miasta znajduje się znany z fabryk mebli – Swarzędz ?,"(Swarzędz,)",koło jaki miasto znajdować znany fabryka mebel Swarzędz,Koło jakiego miasta znajduje znany fabryk mebli Swarzędz,miasta znajduje znany fabryk mebli Swarzędz,miasto znajdować znany fabryka mebel Swarzędz,[],[],[],[]
116,Kto 1 lipca 1997 roku przekazał Chinom władzę nad Hongkongiem ?,"(1 lipca 1997 roku, Chinom, Hongkongiem)",1 lipiec 1997 przekazać Chiny władza Hongkong,1 lipca 1997 przekazał Chinom władzę Hongkongiem,1 lipca 1997 roku przekazał Chinom władzę Hongkongiem,1 lipiec 1997 rok przekazać Chiny władza Hongkong,"['1 lipca', '1997 roku']",['lipca 1997'],[],['Chinom']
117,"Jakie imię otrzymała fregata rakietowa USS „Clark”, podarowana Polsce przez Stany Zjednoczone ?","(USS „Clark”, Polsce, Stany Zjednoczone)",imię otrzymać fregat rakietowy USS Clark podarować Polska Stany Zjednoczone,imię otrzymała fregata rakietowa USS Clark podarowana Polsce Stany Zjednoczone,imię otrzymała fregata rakietowa USS Clark podarowana Polsce Stany Zjednoczone,imię otrzymać fregat rakietowy USS Clark podarować Polska Stany Zjednoczone,[],['fregata rakietowa'],[],"['USS', 'USS Polsce']"
118,Kiedy obchodzony jest Dzień Matki ?,(),obchodzić dzień matka,obchodzony Dzień Matki,Kiedy obchodzony Dzień Matki,kiedy obchodzić dzień matka,[],[],[],[]
119,Kim dla Juliusza Kossaka była Zofia Kossak-Szczucka ?,"(Juliusza Kossaka, Zofia Kossak-Szczucka)",kto Juliusz Kossak Zofia Kossak Szczuck,Kim Juliusza Kossaka Zofia Kossak Szczucka,Juliusza Kossaka Zofia Kossak Szczucka,Juliusz Kossak Zofia Kossak Szczuck,[],[],[],['Juliusza Kossaka']
120,"Z jakiego kraju pochodził zespół Omega, znany m.in. z przeboju pt. „Dziewczyna o perłowych włosach” ?","(Omega,)",jaki kraj pochodzić zespół Omeg znany między innymi przebój pod tytułem dziewczyna perłowy włos,jakiego kraju pochodził zespół Omega znany m.in przeboju pt Dziewczyna perłowych włosach,kraju pochodził zespół Omega znany przeboju Dziewczyna perłowych włosach,kraj pochodzić zespół Omeg znany przebój dziewczyna perłowy włos,['perłowych włosach'],[],[],"['Omega,']"
121,Czym jest „Zefirek” zaprojektowany przez Biuro Konstrukcyjne Zakładów Radiowych „Eltra”?,"(Biuro Konstrukcyjne Zakładów Radiowych „Eltra”,)",co Zefirek zaprojektować biuro konstrukcyjny zakład radiowy Elter,Czym Zefirek zaprojektowany Biuro Konstrukcyjne Zakładów Radiowych Eltra,Zefirek zaprojektowany Biuro Konstrukcyjne Zakładów Radiowych Eltra,Zefirek zaprojektować biuro konstrukcyjny zakład radiowy Elter,['Konstrukcyjne Zakładów'],"['Biuro Konstrukcyjne', 'Zakładów Radiowych']",[],['Biuro Konstrukcyjne Zakładów Radiowych']
122,Jaką kolonię uważano za „klejnot w koronie” brytyjskiego imperium ?,"(brytyjskiego,)",jaki kolonia uważać klejnot korona brytyjski imperium,Jaką kolonię uważano klejnot koronie brytyjskiego imperium,kolonię uważano klejnot koronie brytyjskiego imperium,kolonia uważać klejnot korona brytyjski imperium,['brytyjskiego imperium'],[],[],[]
123,Co ile lat odbywa się Międzynarodowy Konkurs Pianistyczny im. Fryderyka Chopina ?,"(Międzynarodowy Konkurs Pianistyczny im., Fryderyka Chopina)",odbywać międzynarodowy konkurs pianistyczny Fryderyka Chopin,odbywa Międzynarodowy Konkurs Pianistyczny Fryderyka Chopina,lat odbywa Międzynarodowy Konkurs Pianistyczny Fryderyka Chopina,rok odbywać międzynarodowy konkurs pianistyczny Fryderyka Chopin,['Międzynarodowy Konkurs'],['Konkurs Pianistyczny'],[],['Międzynarodowy Konkurs Pianistyczny']
124,W którym roku po raz pierwszy odbył się Międzynarodowy Konkurs Pianistyczny im. Fryderyka Chopina?,"(Międzynarodowy Konkurs Pianistyczny im., Fryderyka Chopina)",raz pierwszy odbyć międzynarodowy konkurs pianistyczny Fryderyka Chopin,raz pierwszy odbył Międzynarodowy Konkurs Pianistyczny Fryderyka Chopina,roku raz pierwszy odbył Międzynarodowy Konkurs Pianistyczny Fryderyka Chopina,rok raz pierwszy odbyć międzynarodowy konkurs pianistyczny Fryderyka Chopin,['Międzynarodowy Konkurs'],"['raz pierwszy', 'Konkurs Pianistyczny']",[],['Międzynarodowy Konkurs Pianistyczny']
125,Jaki kolor ma likier aromatyzowany orzechem kokosowym ?,(),kolor likier aromatyzować orzech kokosowy,kolor likier aromatyzowany orzechem kokosowym,kolor ma likier aromatyzowany orzechem kokosowym,kolor mieć likier aromatyzować orzech kokosowy,['aromatyzowany orzechem'],"['likier aromatyzowany', 'orzechem kokosowym']",[],[]
126,Do kogo Reinhold Messner przesłał depeszę tej treści: „Nie jesteś drugi – jesteś wielki” ?,"(Reinhold Messner,)",kto Reinhold Messner przesłać depesza treść być drugi być wielki,kogo Reinhold Messner przesłał depeszę treści jesteś drugi jesteś wielki,Reinhold Messner przesłał depeszę treści drugi wielki,Reinhold Messner przesłać depesza treść drugi wielki,[],[],[],['Reinhold Messner']
127,Które miejsce zajęli Polacy w piłce nożnej na olimpiadzie w Barcelonie w 1992 roku ?,"(Polacy, Barcelonie, 1992 roku)",miejsce zająć Polak piłka nożny olimpiad Barcelona 1992,miejsce zajęli Polacy piłce nożnej olimpiadzie Barcelonie 1992,miejsce zajęli Polacy piłce nożnej olimpiadzie Barcelonie 1992 roku,miejsce zająć Polak piłka nożny olimpiad Barcelona 1992 rok,['1992 roku'],['piłce nożnej'],[],"['Polacy', 'Polacy Barcelonie']"
128,Pod jakim pseudonimem pisał Aleksander Głowacki ?,"(Aleksander Głowacki,)",jaki pseudonim pisać Aleksander Głowacki,jakim pseudonimem pisał Aleksander Głowacki,pseudonimem pisał Aleksander Głowacki,pseudonim pisać Aleksander Głowacki,[],[],[],[]
129,Kiedy zginęli w Sarajewie z rąk zamachowca arcyksiążę Franciszek Ferdynand i jego żona ?,"(Sarajewie, Franciszek Ferdynand)",zginąć Sarajew ręka zamachowiec arcyksiąż Franciszek Ferdynand żona,zginęli Sarajewie rąk zamachowca arcyksiążę Franciszek Ferdynand żona,Kiedy zginęli Sarajewie rąk zamachowca arcyksiążę Franciszek Ferdynand żona,kiedy zginąć Sarajew ręka zamachowiec arcyksiąż Franciszek Ferdynand żona,[],[],[],"['Sarajewie', 'Sarajewie Franciszek Ferdynand']"
130,Jakiej narodowości był słynny pilot „czerwony baron” ?,(),jaki narodowość słynny pilot czerwony baron,Jakiej narodowości słynny pilot czerwony baron,narodowości słynny pilot czerwony baron,narodowość słynny pilot czerwony baron,"['słynny pilot', 'czerwony baron']",[],[],[]
131,Na jakiej wysokości zawieszona jest obręcz kosza w koszykówce ?,(),jaki wysokość zawiesić obręcz kosz koszykówka,jakiej wysokości zawieszona obręcz kosza koszykówce,wysokości zawieszona obręcz kosza koszykówce,wysokość zawiesić obręcz kosz koszykówka,[],['wysokości zawieszona'],[],[]
132,"Na jakim instrumencie gra Adam Makowicz, instrumentalista i kompozytor jazzowy ?","(Adam Makowicz,)",jaki instrument grać Adam Makowicz instrumentalista kompozytor jazzowy,jakim instrumencie gra Adam Makowicz instrumentalista kompozytor jazzowy,instrumencie gra Adam Makowicz instrumentalista kompozytor jazzowy,instrument grać Adam Makowicz instrumentalista kompozytor jazzowy,[],['kompozytor jazzowy'],[],"['Adam Makowicz,']"
133,Kogo Merkator umieścił na okładce sporządzonego przez siebie pierwszego zbioru map ? ,"(Merkator,)",kto Merkator umieścić okładka sporządzić siebie pierwszy zbiór mapa,Kogo Merkator umieścił okładce sporządzonego siebie pierwszego zbioru map,Merkator umieścił okładce sporządzonego pierwszego zbioru map,Merkator umieścić okładka sporządzić pierwszy zbiór mapa,['pierwszego zbioru'],['okładce sporządzonego'],[],['Merkator']
134,Jaka liczba odpowiada rzymskiemu zapisowi LX ?,(),jaki liczba odpowiadać rzymski zapis LX,Jaka liczba odpowiada rzymskiemu zapisowi LX,liczba odpowiada rzymskiemu zapisowi LX,liczba odpowiadać rzymski zapis LX,['rzymskiemu zapisowi'],[],[],[]
135,Jakie terytorium weszło w posiadanie Wielkiej Brytanii na mocy układu nankińskiego z 1842 roku ?,"(Wielkiej Brytanii, 1842 roku)",terytorium wejść posiadać Wielki Brytania moc układ nankiński 1842,terytorium weszło posiadanie Wielkiej Brytanii mocy układu nankińskiego 1842,terytorium weszło posiadanie Wielkiej Brytanii mocy układu nankińskiego 1842 roku,terytorium wejść posiadać Wielki Brytania moc układ nankiński 1842 rok,['1842 roku'],"['posiadanie Wielkiej', 'układu nankińskiego']",[],['Wielkiej Brytanii']
136,Który z budynków Nowego Jorku przyozdobiony jest gargulcami w kształcie orlich głów ?,"(Nowego Jorku,)",budynek Nowy Jork przyozdobić gargulec kształt orly głowa,budynków Nowego Jorku przyozdobiony gargulcami kształcie orlich głów,budynków Nowego Jorku przyozdobiony gargulcami kształcie orlich głów,budynek Nowy Jork przyozdobić gargulec kształt orly głowa,['orlich głów'],"['budynków Nowego', 'kształcie orlich']",[],['Nowego Jorku']
137,Od jakiej głębokości zaczyna się abisal ?,(),jaki głębokość zaczynać abisać,jakiej głębokości zaczyna abisal,głębokości zaczyna abisal,głębokość zaczynać abisać,[],[],[],[]
138,"Na jakim szczycie Kordian, tytułowy bohater dramatu Juliusza Słowackiego, wygłasza swój monolog ?","(Kordian, Juliusza Słowackiego)",jaki szczyt Kordian tytułowy bohater dramat Juliusz Słowacki wygłaszać swój monolog,jakim szczycie Kordian tytułowy bohater dramatu Juliusza Słowackiego wygłasza swój monolog,szczycie Kordian tytułowy bohater dramatu Juliusza Słowackiego wygłasza monolog,szczyt Kordian tytułowy bohater dramat Juliusz Słowacki wygłaszać monolog,['tytułowy bohater'],[],[],"['Kordian,', 'Kordian, Juliusza Słowackiego,']"
139,Jakiego typu stawem jest staw biodrowy ?,(),jaki typ staw staw biodrowy,Jakiego typu stawem staw biodrowy,typu stawem staw biodrowy,typ staw staw biodrowy,[],['staw biodrowy'],[],[]
140,W jakim wieku zmarł czesław niemen?,"(czesław niemen,)",jaki wiek zemrzeć czesława niemen,jakim wieku zmarł czesław niemen,wieku zmarł czesław niemen,wiek zemrzeć czesława niemen,[],[],[],[]
141,W jakim mieście toczy się akcja opowiadania Andrzeja Sapkowskiego pt. „W leju po bombie” ?,"(Andrzeja Sapkowskiego,)",jaki miasto toczyć akcja opowiadanie Andrzej Sapkowski pod tytułem lej bomba,jakim mieście toczy akcja opowiadania Andrzeja Sapkowskiego pt leju bombie,mieście toczy akcja opowiadania Andrzeja Sapkowskiego leju bombie,miasto toczyć akcja opowiadanie Andrzej Sapkowski lej bomba,[],[],[],['Andrzeja Sapkowskiego']
142,Gdzie znajduje się Muzeum im. Przypkowskich i wspaniała kolekcja zegarów słonecznych ?,"(Muzeum im.,)",znajdować muzeum przypkowski wspaniały kolekcja zegar słoneczny,znajduje Muzeum Przypkowskich wspaniała kolekcja zegarów słonecznych,Gdzie znajduje Muzeum Przypkowskich wspaniała kolekcja zegarów słonecznych,gdzie znajdować muzeum przypkowski wspaniały kolekcja zegar słoneczny,['wspaniała kolekcja'],['zegarów słonecznych'],[],['Muzeum']
143,Czyim patronem jest św. Hubert ?,"(św., Hubert)",czyj patron święty Hubert,Czyim patronem św Hubert,patronem jest Hubert,patron być Hubert,[],[],[],[]
144,Ile waży kobieca kula używana w konkurencji pchnięcia kulą ?,(),ważyć kobiecy kula używać konkurencja pchnięcie kula,waży kobieca kula używana konkurencji pchnięcia kulą,waży kobieca kula używana konkurencji pchnięcia kulą,ważyć kobiecy kula używać konkurencja pchnięcie kula,['kobieca kula'],['kula używana'],[],[]
145,Czego domagał się Charon za przewiezienie przez Styks?,"(Charon, Styks)",co domagać charon przewiezienie Styks,Czego domagał Charon przewiezienie Styks,domagał Charon przewiezienie Styks,domagać charon przewiezienie Styks,[],[],[],['Charon']
146,Komu ludzie zawdzięczali posiadanie ognia?,(),kto człowiek zawdzięczać posiadać ogień,Komu ludzie zawdzięczali posiadanie ognia,ludzie zawdzięczali posiadanie ognia,człowiek zawdzięczać posiadać ogień,[],[],[],[]
147,Ile razy Styks okrążał królestwo podziemi?,"(Styks,)",raz Styks okrążać królestwo podzień,razy Styks okrążał królestwo podziemi,razy Styks okrążał królestwo podziemi,raz Styks okrążać królestwo podzień,[],[],[],['Styks']
148,"Jak nazywał się piękny myśliwy, w którym zakochała się Afrodyta?","(Afrodyta,)",nazywać piękny myśliwa zakochać Afrodyt,nazywał piękny myśliwy zakochała Afrodyta,Jak nazywał piękny myśliwy zakochała Afrodyta,jak nazywać piękny myśliwa zakochać Afrodyt,['piękny myśliwy'],[],[],[]
149,Jak długo trwały Panatenaje?,"(Panatenaje,)",długo trwać Panatenaje,długo trwały Panatenaje,Jak długo trwały Panatenaje,jak długo trwać Panatenaje,[],[],[],[]
150,"Kogo nazywano ""dobrym pasterzem"" w Arkadii?","(Arkadii,)",kto nazywać dobry pasterz Arkadia,Kogo nazywano dobrym pasterzem Arkadii,nazywano dobrym pasterzem Arkadii,nazywać dobry pasterz Arkadia,['dobrym pasterzem'],[],['dobrym pasterzem'],[]
151,Na której z wysp leżą dwa państwa ?,(),wyspa leżeć państwo,wysp leżą państwa,wysp leżą państwa,wyspa leżeć państwo,[],[],[],[]
152,Skąd pochodził Spartakus ?,"(Spartakus,)",pochodzić Spartakus,pochodził Spartakus,Skąd pochodził Spartakus,skąd pochodzić Spartakus,[],[],[],[]
153,W którym roku utworzono Polskie Koleje Państwowe ?,"(Polskie Koleje Państwowe,)",utworzyć polski kolej państwowy,utworzono Polskie Koleje Państwowe,roku utworzono Polskie Koleje Państwowe,rok utworzyć polski kolej państwowy,['Polskie Koleje'],['Koleje Państwowe'],[],[]
154,Jaki straszliwy przedmiot zamówili Cyklopi chcący zemścić się na Herze?,"(Cyklopi, Herze)",straszliwy przedmiot zamówić Cyklop chcieć zemścić Herzy,straszliwy przedmiot zamówili Cyklopi chcący zemścić Herze,straszliwy przedmiot zamówili Cyklopi chcący zemścić Herze,straszliwy przedmiot zamówić Cyklop chcieć zemścić Herzy,['straszliwy przedmiot'],[],[],['Cyklopi']
155,W którym wieku wielka epidemia dżumy zebrała żniwo trzydziestu procent ludności Europy ?,"(Europy,)",wiek wielki epidemia dżum zebrać żniwo trzystieści procent ludność Europa,wieku wielka epidemia dżumy zebrała żniwo trzydziestu procent ludności Europy,wieku wielka epidemia dżumy zebrała żniwo procent ludności Europy,wiek wielki epidemia dżum zebrać żniwo procent ludność Europa,['wielka epidemia'],['wieku wielka'],[],[]
156,Na terenie jakiego państwa znajduje się jezioro Bałchasz ?,"(Bałchasz,)",teren jaki państwo znajdować jezioro Bałchasz,terenie jakiego państwa znajduje jezioro Bałchasz,terenie państwa znajduje jezioro Bałchasz,teren państwo znajdować jezioro Bałchasz,[],[],[],[]
157,W której bitwie zginął hetman Stanisław Żółkiewski ?,"(Stanisław Żółkiewski,)",bitwa zginąć hetman Stanisław Żółkiewski,bitwie zginął hetman Stanisław Żółkiewski,bitwie zginął hetman Stanisław Żółkiewski,bitwa zginąć hetman Stanisław Żółkiewski,[],[],[],[]
158,Jak nazywał się ukochany Madame Butterfly ?,(),nazywać ukochać Madame Butterfly,nazywał ukochany Madame Butterfly,Jak nazywał ukochany Madame Butterfly,jak nazywać ukochać Madame Butterfly,[],[],[],[]
159,"Który z bogów Egiptu został zabity przez Seta, rozerwany na kawałki i rozrzucony po świecie ?","(Egiptu, Seta)",bóg Egipt zabity Seta rozerwać kawałek rozrzucić świat,bogów Egiptu zabity Seta rozerwany kawałki rozrzucony świecie,bogów Egiptu zabity Seta rozerwany kawałki rozrzucony świecie,bóg Egipt zabity Seta rozerwać kawałek rozrzucić świat,[],[],[],"['Egiptu', 'Egiptu Seta,']"
160,Po jakiej bitwie ustanowiony został Order Virtuti Militari ?,"(Virtuti Militari,)",jaki bitwa ustanowić order Virtuti Militari,jakiej bitwie ustanowiony Order Virtuti Militari,bitwie ustanowiony Order Virtuti Militari,bitwa ustanowić order Virtuti Militari,[],['bitwie ustanowiony'],[],[]
161,Gdzie skończyła szkołę filmową Agnieszka Holland ?,"(Agnieszka Holland,)",skończyć szkoła filmowy Agnieszka Holland,skończyła szkołę filmową Agnieszka Holland,Gdzie skończyła szkołę filmową Agnieszka Holland,gdzie skończyć szkoła filmowy Agnieszka Holland,[],['szkołę filmową'],[],[]
162,Który z instrumentów dętych posiada suwak ?,(),instrument dęty posiadać suwak,instrumentów dętych posiada suwak,instrumentów dętych posiada suwak,instrument dęty posiadać suwak,[],['instrumentów dętych'],[],[]
163,Jaki kształt liści ma miłorząb ?,(),kształt liść miłorząb,kształt liści miłorząb,kształt liści ma miłorząb,kształt liść mieć miłorząb,[],[],[],[]
164,Którego z królów Polski prawdopodobnie obłąkany Michał Piekarski ranił czekanem w głowę ?,"(Polski, Michał Piekarski)",król Polska prawdopodobnie obłąkać Michał Piekarski ranić czekać głowa,królów Polski prawdopodobnie obłąkany Michał Piekarski ranił czekanem głowę,królów Polski prawdopodobnie obłąkany Michał Piekarski ranił czekanem głowę,król Polska prawdopodobnie obłąkać Michał Piekarski ranić czekać głowa,[],[],[],"['Polski', 'Polski Michał Piekarski']"
165,W jakim kraju znajdują się góry Kaledońskie ?,"(Kaledońskie,)",jaki kraj znajdować góra kaledoński,jakim kraju znajdują góry Kaledońskie,kraju znajdują góry Kaledońskie,kraj znajdować góra kaledoński,[],['góry Kaledońskie'],[],[]
166,Gdzie w 1999 roku odbył się Przystanek Woodstock ?,"(1999 roku, Przystanek Woodstock)",1999 odbyć przystanek Woodstock,1999 odbył Przystanek Woodstock,Gdzie 1999 roku odbył Przystanek Woodstock,gdzie 1999 rok odbyć przystanek Woodstock,['1999 roku'],[],[],[]
167,Jak miał na nazwisko tytułowy bohater noweli Henryka Sienkiewicza pt. „Latarnik” ?,"(Henryka Sienkiewicza,)",mieć nazwisko tytułowy bohater nowela Henryk Sienkiewicz pod tytułem Latarnik,miał nazwisko tytułowy bohater noweli Henryka Sienkiewicza pt Latarnik,Jak miał nazwisko tytułowy bohater noweli Henryka Sienkiewicza Latarnik,jak mieć nazwisko tytułowy bohater nowela Henryk Sienkiewicz Latarnik,['tytułowy bohater'],['nazwisko tytułowy'],[],['Henryka Sienkiewicza']
168,Ile lat nie było Tadeusza w domu?,"(Tadeusza,)",Tadeusz dom,Tadeusza domu,lat było Tadeusza domu,rok być Tadeusz dom,[],[],[],['Tadeusza']
169,Który z bohaterów Pana Tadeusza grał na rogu myśliwskim?,"(Tadeusza,)",bohater Tadeusz grać róg myśliwski,bohaterów Tadeusza grał rogu myśliwskim,bohaterów Pana Tadeusza grał rogu myśliwskim,bohater pan Tadeusz grać róg myśliwski,[],['rogu myśliwskim'],[],['Pana Tadeusza']
170,Ile zapłacił Wokulski za kamienicę Łęckich?,"(Wokulski, Łęckich)",zapłacić Wokulski kamienica Łęcki,zapłacił Wokulski kamienicę Łęckich,zapłacił Wokulski kamienicę Łęckich,zapłacić Wokulski kamienica Łęcki,[],[],[],['Wokulski']
171,Jak nazywała się żona Stanisława Wokulskiego?,"(Stanisława Wokulskiego,)",nazywać żona Stanisław Wokulski,nazywała żona Stanisława Wokulskiego,Jak nazywała żona Stanisława Wokulskiego,jak nazywać żona Stanisław Wokulski,[],[],[],[]
172,Z ilu rozdziałów składa się „Lalka”?,"(„Lalka”,)",ile rozdział składać lalka,ilu rozdziałów składa Lalka,rozdziałów składa Lalka,rozdział składać lalka,[],[],[],[]
173,Na czyje zaproszenie przyjeżdża Wokulski do Zasławka?,"(Wokulski, Zasławka)",czyj zaproszenie przyjeżdżać Wokulski Zasławek,czyje zaproszenie przyjeżdża Wokulski Zasławka,zaproszenie przyjeżdża Wokulski Zasławka,zaproszenie przyjeżdżać Wokulski Zasławek,[],[],[],['Wokulski']
174,"W jakim państwie wybuchła w 1833 roku wojna domowa, zwana pierwszą wojną karlistowską ?","(1833 roku, karlistowską)",jaki państwo wybuchnąć 1833 wojna domowy zwać pierwszy wojna karlistowski,jakim państwie wybuchła 1833 wojna domowa zwana pierwszą wojną karlistowską,państwie wybuchła 1833 roku wojna domowa zwana pierwszą wojną karlistowską,państwo wybuchnąć 1833 rok wojna domowy zwać pierwszy wojna karlistowski,"['1833 roku', 'pierwszą wojną']","['wojna domowa', 'wojną karlistowską']",[],[]
175,"ilu braci miał Robinson Crusoe, główny bohater powieści Daniela Defoe ?","(Robinson Crusoe, Daniela Defoe)",ile brat mieć Robinson Crusoe główny bohater powieść Daniela Defoe,ilu braci miał Robinson Crusoe główny bohater powieści Daniela Defoe,braci miał Robinson Crusoe główny bohater powieści Daniela Defoe,brat mieć Robinson Crusoe główny bohater powieść Daniela Defoe,['główny bohater'],[],[],"['Robinson Crusoe,']"
